"geoid","region_type","region_name","year","measure","value"
"51059_pd_a","planning district","Annandale",2019,"avg_down_using_devices",120.381279338597
"51059_pd_a","planning district","Annandale",2020,"avg_down_using_devices",144.60754120956
"51059_pd_a","planning district","Annandale",2021,"avg_down_using_devices",200.737541227917
"51059_pd_a","planning district","Annandale",2019,"avg_down_using_tests",121.094864990445
"51059_pd_a","planning district","Annandale",2020,"avg_down_using_tests",143.597538093463
"51059_pd_a","planning district","Annandale",2021,"avg_down_using_tests",202.05237445106
"51059_pd_a","planning district","Annandale",2019,"avg_lat_using_devices",8.56810051894847
"51059_pd_a","planning district","Annandale",2020,"avg_lat_using_devices",8.26569059219726
"51059_pd_a","planning district","Annandale",2021,"avg_lat_using_devices",8.41182713325696
"51059_pd_a","planning district","Annandale",2019,"avg_lat_using_tests",8.50835406288755
"51059_pd_a","planning district","Annandale",2020,"avg_lat_using_tests",8.29526309489051
"51059_pd_a","planning district","Annandale",2021,"avg_lat_using_tests",8.37524828992546
"51059_pd_a","planning district","Annandale",2019,"avg_up_using_devices",95.4471926402979
"51059_pd_a","planning district","Annandale",2020,"avg_up_using_devices",97.7651706198338
"51059_pd_a","planning district","Annandale",2021,"avg_up_using_devices",114.558637089758
"51059_pd_a","planning district","Annandale",2019,"avg_up_using_tests",96.6540011999247
"51059_pd_a","planning district","Annandale",2020,"avg_up_using_tests",96.9830650110915
"51059_pd_a","planning district","Annandale",2021,"avg_up_using_tests",115.504368741842
"51059_pd_a","planning district","Annandale",2019,"devices",4768.94874921169
"51059_pd_a","planning district","Annandale",2020,"devices",5664.74035512961
"51059_pd_a","planning district","Annandale",2021,"devices",4838.77749344196
"51059_pd_a","planning district","Annandale",2019,"tests",15381.5877015855
"51059_pd_a","planning district","Annandale",2020,"tests",20920.0349718898
"51059_pd_a","planning district","Annandale",2021,"tests",16405.9406066441
"51059_pd_b","planning district","Baileys",2019,"avg_down_using_devices",116.198417331656
"51059_pd_b","planning district","Baileys",2020,"avg_down_using_devices",138.249990176334
