"geoid","region_type","region_name","year","measure","value"
20120,"zip code","CENTREVILLE",2019,"avg_down_using_devices",134.710092611835
20120,"zip code","CENTREVILLE",2020,"avg_down_using_devices",164.810682757671
20120,"zip code","CENTREVILLE",2021,"avg_down_using_devices",217.095219329433
20120,"zip code","CENTREVILLE",2019,"avg_down_using_tests",133.4108594669
20120,"zip code","CENTREVILLE",2020,"avg_down_using_tests",163.384809125695
20120,"zip code","CENTREVILLE",2021,"avg_down_using_tests",209.934934333844
20120,"zip code","CENTREVILLE",2019,"avg_lat_using_devices",9.08435389496544
20120,"zip code","CENTREVILLE",2020,"avg_lat_using_devices",8.53222942650472
20120,"zip code","CENTREVILLE",2021,"avg_lat_using_devices",8.21361275995245
20120,"zip code","CENTREVILLE",2019,"avg_lat_using_tests",8.88117797124901
20120,"zip code","CENTREVILLE",2020,"avg_lat_using_tests",8.49664126427379
20120,"zip code","CENTREVILLE",2021,"avg_lat_using_tests",8.22343106247236
20120,"zip code","CENTREVILLE",2019,"avg_up_using_devices",106.614103716486
20120,"zip code","CENTREVILLE",2020,"avg_up_using_devices",113.443895894953
20120,"zip code","CENTREVILLE",2021,"avg_up_using_devices",135.477801147069
20120,"zip code","CENTREVILLE",2019,"avg_up_using_tests",107.29726211278
20120,"zip code","CENTREVILLE",2020,"avg_up_using_tests",112.371680668271
20120,"zip code","CENTREVILLE",2021,"avg_up_using_tests",134.111971690382
20120,"zip code","CENTREVILLE",2019,"devices",3138.11268170088
20120,"zip code","CENTREVILLE",2020,"devices",3861.40481770376
20120,"zip code","CENTREVILLE",2021,"devices",2897.48444841474
20120,"zip code","CENTREVILLE",2019,"tests",10531.8388304128
20120,"zip code","CENTREVILLE",2020,"tests",14460.6527208813
20120,"zip code","CENTREVILLE",2021,"tests",10996.1857659645
20121,"zip code","CENTREVILLE",2019,"avg_down_using_devices",130.976292334607
20121,"zip code","CENTREVILLE",2020,"avg_down_using_devices",171.111927530382
20121,"zip code","CENTREVILLE",2021,"avg_down_using_devices",224.406242589179
20121,"zip code","CENTREVILLE",2019,"avg_down_using_tests",132.719817676432
20121,"zip code","CENTREVILLE",2020,"avg_down_using_tests",173.46785527639
20121,"zip code","CENTREVILLE",2021,"avg_down_using_tests",229.220060677501
20121,"zip code","CENTREVILLE",2019,"avg_lat_using_devices",8.79174563799417
20121,"zip code","CENTREVILLE",2020,"avg_lat_using_devices",8.35335759503285
20121,"zip code","CENTREVILLE",2021,"avg_lat_using_devices",8.04732662208905
20121,"zip code","CENTREVILLE",2019,"avg_lat_using_tests",8.70659116871431
20121,"zip code","CENTREVILLE",2020,"avg_lat_using_tests",8.3942155067463
20121,"zip code","CENTREVILLE",2021,"avg_lat_using_tests",7.84709796267718
20121,"zip code","CENTREVILLE",2019,"avg_up_using_devices",101.078733951773
20121,"zip code","CENTREVILLE",2020,"avg_up_using_devices",115.37528734935
20121,"zip code","CENTREVILLE",2021,"avg_up_using_devices",132.523836838718
20121,"zip code","CENTREVILLE",2019,"avg_up_using_tests",103.394542844628
20121,"zip code","CENTREVILLE",2020,"avg_up_using_tests",116.055331186057
20121,"zip code","CENTREVILLE",2021,"avg_up_using_tests",133.173626906646
20121,"zip code","CENTREVILLE",2019,"devices",2049.29187497391
20121,"zip code","CENTREVILLE",2020,"devices",2381.90724421266
20121,"zip code","CENTREVILLE",2021,"devices",1874.15640217258
20121,"zip code","CENTREVILLE",2019,"tests",6176.69253000526
20121,"zip code","CENTREVILLE",2020,"tests",8831.32992942866
20121,"zip code","CENTREVILLE",2021,"tests",8041.69256879981
20124,"zip code","CLIFTON",2019,"avg_down_using_devices",123.230399820653
20124,"zip code","CLIFTON",2020,"avg_down_using_devices",145.428344405793
20124,"zip code","CLIFTON",2021,"avg_down_using_devices",201.29844296514
20124,"zip code","CLIFTON",2019,"avg_down_using_tests",119.617528640385
20124,"zip code","CLIFTON",2020,"avg_down_using_tests",148.57716380017
20124,"zip code","CLIFTON",2021,"avg_down_using_tests",202.419180368241
20124,"zip code","CLIFTON",2019,"avg_lat_using_devices",9.834870448954
20124,"zip code","CLIFTON",2020,"avg_lat_using_devices",8.78577334708998
20124,"zip code","CLIFTON",2021,"avg_lat_using_devices",9.13258820142291
20124,"zip code","CLIFTON",2019,"avg_lat_using_tests",9.42796924632501
20124,"zip code","CLIFTON",2020,"avg_lat_using_tests",8.77907828672825
20124,"zip code","CLIFTON",2021,"avg_lat_using_tests",8.95767849772793
